    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
 296021 nathan37  20   0  235160   7448   4380 S   7.1   0.0   1:25.09 htop
 308004 nathan37  20   0  235136   7444   4360 S   6.1   0.0   0:43.72 htop
 248687 nathan37  20   0 6492060 361204 145908 S   5.8   1.5   4:33.10 gnome-shell
 254147 nathan37  20   0   33.1g 239540 137592 S   4.8   1.0   2:38.86 code
   1337 fastx     20   0   11.0g 199048  36612 S   3.1   0.8   3:26.84 fastx3
   1076 root      20   0 2694144 668828 347620 S   2.3   2.8  11:41.46 falcon-sensor-b
 254213 nathan37  20   0 1395.8g 444380 168968 S   2.3   1.8   0:59.57 code
 248116 nathan37  20   0 4183092 194856  62144 R   1.9   0.8   2:02.59 Xorg
 254532 nathan37  20   0 1409.9g 116964  81656 S   0.6   0.5   0:07.66 code
   2282 root      20   0 1573228  97672  17964 S   0.5   0.4   4:08.54 /opt/saltstack/
 253950 nathan37  20   0 1394.1g 216156 136632 S   0.4   0.9   0:09.63 code
 249456 nathan37  20   0  712888  54568  39504 S   0.3   0.2   0:17.29 gnome-terminal-
 322194 nathan37  20   0  235308   4972   3776 R   0.3   0.0   0:00.11 top
   1920 zabbix    20   0 2436588  36432  19576 S   0.2   0.1   1:37.91 zabbix_agent2
     17 root      20   0       0      0      0 I   0.1   0.0   0:08.21 rcu_preempt
     75 root      20   0       0      0      0 S   0.1   0.0   0:00.26 ksoftirqd/9
   1168 root      20   0  460996  12516   8020 S   0.1   0.1   0:28.74 vmtoolsd
--
    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
 254147 nathan37  20   0   33.1g 240352 138576 S  23.3   1.0   2:41.20 code
 248687 nathan37  20   0 6492060 361204 145908 S  22.5   1.5   4:35.36 gnome-shell
 308004 nathan37  20   0  235136   7444   4360 S   7.1   0.0   0:44.43 htop
 248116 nathan37  20   0 4183092 194856  62144 S   6.3   0.8   2:03.22 Xorg
 296021 nathan37  20   0  235160   7448   4380 S   6.0   0.0   1:25.69 htop
 254213 nathan37  20   0 1395.8g 446788 169840 S   5.8   1.8   1:00.15 code
   1076 root      20   0 2694144 668696 347620 S   1.3   2.8  11:41.59 falcon-sensor-b
   1337 fastx     20   0   11.0g 198616  36612 S   1.1   0.8   3:26.95 fastx3
 253950 nathan37  20   0 1394.1g 216056 136632 S   0.8   0.9   0:09.71 code
 254532 nathan37  20   0 1409.9g 116960  81656 S   0.6   0.5   0:07.72 code
