    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
 308004 nathan37  20   0  235136   7468   4360 R   6.7   0.0   0:51.95 htop
 296021 nathan37  20   0  235160   7468   4380 S   5.9   0.0   1:33.26 htop
 248687 nathan37  20   0 6492060 361204 145908 S   1.8   1.5   4:50.61 gnome-shell
 254405 nathan37  20   0 1393.9g 278280  86376 S   0.8   1.1   0:10.39 code
   1076 root      20   0 2694144 667588 347620 S   0.7   2.7  11:43.37 falcon-sensor-b
 248116 nathan37  20   0 4183092 194860  62144 S   0.6   0.8   2:08.11 Xorg
   1337 fastx     20   0   11.0g 200468  36612 S   0.5   0.8   3:28.49 fastx3
   1920 zabbix    20   0 2436588  37444  19576 S   0.5   0.2   1:38.23 zabbix_agent2
   2282 root      20   0 1573228  97672  17964 S   0.5   0.4   4:09.19 /opt/saltstack/
 254213 nathan37  20   0 1395.9g 450456 177368 S   0.4   1.9   1:06.85 code
 249456 nathan37  20   0  712760  54664  39504 S   0.3   0.2   0:17.69 gnome-terminal-
 254147 nathan37  20   0   33.1g 252568 146660 S   0.2   1.0   3:11.60 code
 254155 nathan37  20   0   32.6g  80136  68656 S   0.2   0.3   0:00.56 code
 322194 nathan37  20   0  235308   4972   3776 R   0.2   0.0   0:00.34 top
     17 root      20   0       0      0      0 I   0.1   0.0   0:08.27 rcu_preempt
   1361 root      20   0  484784  30416  16088 S   0.1   0.1   0:06.54 tuned
   1639 splunkf+  20   0  429724 214156  66792 S   0.1   0.9   1:28.64 splunkd
--
    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
 308004 nathan37  20   0  235136   7468   4360 S   6.1   0.0   0:52.56 htop
 296021 nathan37  20   0  235160   7468   4380 S   5.9   0.0   1:33.85 htop
 248687 nathan37  20   0 6492060 361204 145908 S   2.3   1.5   4:50.84 gnome-shell
 248116 nathan37  20   0 4183092 194860  62144 S   0.7   0.8   2:08.18 Xorg
   2282 root      20   0 1573228  97672  17964 S   0.6   0.4   4:09.25 /opt/saltstack/
   1076 root      20   0 2694144 667396 347620 S   0.4   2.7  11:43.41 falcon-sensor-b
 254405 nathan37  20   0 1393.9g 278632  86376 S   0.4   1.1   0:10.43 code
   1337 fastx     20   0   11.0g 200924  36612 S   0.3   0.8   3:28.52 fastx3
 249456 nathan37  20   0  712760  54664  39504 S   0.3   0.2   0:17.72 gnome-terminal-
 249033 nathan37  20   0  397880  40356  33360 S   0.2   0.2   0:04.98 vmtoolsd
 254213 nathan37  20   0 1395.9g 450008 177368 S   0.2   1.9   1:06.87 code
 322194 nathan37  20   0  235308   4972   3776 R   0.2   0.0   0:00.36 top
     63 root      20   0       0      0      0 S   0.1   0.0   0:00.26 ksoftirqd/7
     69 root      20   0       0      0      0 S   0.1   0.0   0:00.39 ksoftirqd/8
    780 root      20   0       0      0      0 S   0.1   0.0   0:04.33 xfsaild/dm-0
   1375 root      20   0  908576  23576  11516 S   0.1   0.1   0:27.07 fail2ban-server
   1671 apache    20   0 2246208   8188   4452 S   0.1   0.0   0:05.89 httpd
--
    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
 327557 root      20   0  437428  59452  18024 S   9.8   0.2   0:00.98 SetroubleshootP
 327508 setroub+  25   5  544708  86004  23300 S   8.6   0.4   0:00.86 setroubleshootd
 296021 nathan37  20   0  235160   7468   4380 S   6.0   0.0   1:34.45 htop
 308004 nathan37  20   0  235136   7468   4360 S   6.0   0.0   0:53.16 htop
 248115 nathan37  20   0  319260  93788   6072 S   5.9   0.4   0:23.54 FastX monitor 1
   1337 fastx     20   0   11.0g 202452  36612 S   3.3   0.8   3:28.85 fastx3
   1076 root      20   0 2694144 667508 347620 S   3.1   2.7  11:43.72 falcon-sensor-b
 248687 nathan37  20   0 6492060 361204 145908 S   1.8   1.5   4:51.02 gnome-shell
      1 root      20   0  176612  19328  11352 S   1.5   0.1   2:07.53 systemd
   1639 splunkf+  20   0  429724 214960  66792 S   0.6   0.9   1:28.70 splunkd
 248116 nathan37  20   0 4183092 194860  62144 S   0.6   0.8   2:08.24 Xorg
   1143 dbus      20   0    8436   6272   2564 S   0.5   0.0   0:33.15 dbus-broker
   2282 root      20   0 1573228  97672  17964 S   0.5   0.4   4:09.30 /opt/saltstack/
 254213 nathan37  20   0 1395.9g 449932 177368 S   0.4   1.9   1:06.91 code
   1920 zabbix    20   0 2436588  36316  19576 S   0.3   0.1   1:38.27 zabbix_agent2
 249456 nathan37  20   0  712760  54664  39504 S   0.3   0.2   0:17.75 gnome-terminal-
 254532 nathan37  20   0 1409.9g 117896  81656 S   0.3   0.5   0:08.11 code
--
    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
 296021 nathan37  20   0  235160   7468   4380 S   6.9   0.0   1:35.14 htop
 308004 nathan37  20   0  235136   7468   4360 S   5.8   0.0   0:53.74 htop
 248687 nathan37  20   0 6492060 361204 145908 S   1.9   1.5   4:51.21 gnome-shell
 248116 nathan37  20   0 4183092 194860  62144 S   0.6   0.8   2:08.30 Xorg
   2282 root      20   0 1573228  97672  17964 S   0.5   0.4   4:09.35 /opt/saltstack/
   1076 root      20   0 2694144 667384 347620 S   0.4   2.7  11:43.76 falcon-sensor-b
   1639 splunkf+  20   0  429724 214256  66792 S   0.4   0.9   1:28.74 splunkd
   1337 fastx     20   0   11.0g 202392  36612 S   0.3   0.8   3:28.88 fastx3
 249456 nathan37  20   0  712376  54364  39504 S   0.3   0.2   0:17.78 gnome-terminal-
 322194 nathan37  20   0  235308   4972   3776 R   0.3   0.0   0:00.40 top
   1920 zabbix    20   0 2436588  36360  19576 S   0.2   0.1   1:38.29 zabbix_agent2
 254213 nathan37  20   0 1395.9g 449932 177368 S   0.2   1.9   1:06.93 code
     45 root      20   0       0      0      0 S   0.1   0.0   0:00.35 ksoftirqd/4
     69 root      20   0       0      0      0 S   0.1   0.0   0:00.40 ksoftirqd/8
    872 root      20   0   37812  24272  21732 S   0.1   0.1   0:02.96 systemd-journal
   1375 root      20   0  908576  23576  11516 S   0.1   0.1   0:27.08 fail2ban-server
   1401 root      20   0  173236  14368  12948 S   0.1   0.1   0:02.94 rsyslogd
--
    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
 308004 nathan37  20   0  235136   7468   4360 S   7.1   0.0   0:54.45 htop
 296021 nathan37  20   0  235160   7468   4380 S   6.2   0.0   1:35.76 htop
 248687 nathan37  20   0 6492060 361204 145908 S   2.3   1.5   4:51.44 gnome-shell
 248116 nathan37  20   0 4183092 194860  62144 S   0.7   0.8   2:08.37 Xorg
   1076 root      20   0 2694144 667400 347620 S   0.5   2.7  11:43.81 falcon-sensor-b
   2282 root      20   0 1573228  97672  17964 S   0.5   0.4   4:09.40 /opt/saltstack/
   1337 fastx     20   0   11.0g 202852  36612 S   0.4   0.8   3:28.92 fastx3
   1639 splunkf+  20   0  429724 215152  66792 S   0.4   0.9   1:28.78 splunkd
 249456 nathan37  20   0  712760  54496  39504 S   0.3   0.2   0:17.81 gnome-terminal-
 254213 nathan37  20   0 1395.9g 449932 177368 S   0.3   1.9   1:06.96 code
   1920 zabbix    20   0 2436588  36480  19576 S   0.2   0.2   1:38.31 zabbix_agent2
 249033 nathan37  20   0  397880  40356  33360 S   0.2   0.2   0:05.02 vmtoolsd
 254532 nathan37  20   0 1409.9g 117892  81656 S   0.2   0.5   0:08.14 code
      1 root      20   0  176612  19328  11352 S   0.1   0.1   2:07.54 systemd
   1386 root      19  -1  222532   3668   3400 S   0.1   0.0   0:00.74 ews-renicer.sh
 253950 nathan37  20   0 1394.1g 211204 136632 S   0.1   0.9   0:10.47 code
 322194 nathan37  20   0  235308   4972   3776 R   0.1   0.0   0:00.41 top
--
    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
 296021 nathan37  20   0  235160   7468   4380 S   5.9   0.0   1:36.35 htop
 308004 nathan37  20   0  235136   7468   4360 S   5.9   0.0   0:55.04 htop
 248687 nathan37  20   0 6492060 361204 145908 S   2.4   1.5   4:51.68 gnome-shell
 248116 nathan37  20   0 4183092 194860  62144 S   0.6   0.8   2:08.43 Xorg
   1076 root      20   0 2694144 667064 347620 S   0.5   2.7  11:43.86 falcon-sensor-b
   2282 root      20   0 1573228  97672  17964 S   0.5   0.4   4:09.45 /opt/saltstack/
   1337 fastx     20   0   11.0g 202544  36612 S   0.3   0.8   3:28.95 fastx3
   1639 splunkf+  20   0  429724 214260  66792 S   0.3   0.9   1:28.81 splunkd
 254213 nathan37  20   0 1395.9g 449932 177368 S   0.3   1.9   1:06.99 code
   1168 root      20   0  460996  12516   8020 S   0.2   0.1   0:28.86 vmtoolsd
 249456 nathan37  20   0  712632  54244  39504 S   0.2   0.2   0:17.83 gnome-terminal-
 322194 nathan37  20   0  235308   4972   3776 R   0.2   0.0   0:00.43 top
     45 root      20   0       0      0      0 S   0.1   0.0   0:00.36 ksoftirqd/4
     69 root      20   0       0      0      0 S   0.1   0.0   0:00.41 ksoftirqd/8
   1375 root      20   0  908576  23576  11516 S   0.1   0.1   0:27.09 fail2ban-server
   1920 zabbix    20   0 2436588  34512  19576 S   0.1   0.1   1:38.32 zabbix_agent2
 248754 nathan37  20   0  449060   7368   6544 S   0.1   0.0   0:00.12 ibus-portal
--
    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
 296021 nathan37  20   0  235160   7468   4380 S   5.9   0.0   1:36.94 htop
 308004 nathan37  20   0  235136   7468   4360 S   5.9   0.0   0:55.63 htop
 248687 nathan37  20   0 6492060 361204 145908 S   1.8   1.5   4:51.86 gnome-shell
 248116 nathan37  20   0 4183092 194860  62144 S   0.6   0.8   2:08.49 Xorg
   2282 root      20   0 1573228  97672  17964 S   0.5   0.4   4:09.50 /opt/saltstack/
   1337 fastx     20   0   11.0g 202456  36612 S   0.4   0.8   3:28.99 fastx3
   1920 zabbix    20   0 2436588  35360  19576 S   0.4   0.1   1:38.36 zabbix_agent2
   1076 root      20   0 2694144 667056 347620 S   0.3   2.7  11:43.89 falcon-sensor-b
 249456 nathan37  20   0  712632  54372  39504 S   0.3   0.2   0:17.86 gnome-terminal-
 254213 nathan37  20   0 1395.9g 450216 177368 S   0.3   1.9   1:07.02 code
 254147 nathan37  20   0   33.1g 252556 146660 S   0.2   1.0   3:11.66 code
 254532 nathan37  20   0 1409.9g 117892  81656 S   0.2   0.5   0:08.17 code
     17 root      20   0       0      0      0 I   0.1   0.0   0:08.29 rcu_preempt
   1639 splunkf+  20   0  429724 214260  66792 S   0.1   0.9   1:28.82 splunkd
   1672 apache    20   0 2180672   8188   4456 S   0.1   0.0   0:05.90 httpd
 249033 nathan37  20   0  397880  40356  33360 S   0.1   0.2   0:05.04 vmtoolsd
 254405 nathan37  20   0 1393.9g 278624  86376 S   0.1   1.1   0:10.45 code
--
    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
 296021 nathan37  20   0  235160   7468   4380 S   6.9   0.0   1:37.63 htop
 308004 nathan37  20   0  235136   7468   4360 S   5.9   0.0   0:56.22 htop
 248687 nathan37  20   0 6492060 361204 145908 S   1.8   1.5   4:52.04 gnome-shell
 248116 nathan37  20   0 4183092 194860  62144 S   0.6   0.8   2:08.55 Xorg
   2282 root      20   0 1573228  97672  17964 S   0.5   0.4   4:09.55 /opt/saltstack/
   1076 root      20   0 2694144 667044 347620 S   0.3   2.7  11:43.92 falcon-sensor-b
   1337 fastx     20   0   11.0g 202928  36612 S   0.3   0.8   3:29.02 fastx3
   1920 zabbix    20   0 2436588  36276  19576 S   0.3   0.1   1:38.39 zabbix_agent2
 249456 nathan37  20   0  712632  54244  39504 S   0.2   0.2   0:17.88 gnome-terminal-
 254213 nathan37  20   0 1395.9g 450104 177368 S   0.2   1.9   1:07.04 code
 254532 nathan37  20   0 1409.9g 117856  81656 S   0.2   0.5   0:08.19 code
 322194 nathan37  20   0  235308   4972   3776 R   0.2   0.0   0:00.46 top
   1375 root      20   0  908576  23576  11516 S   0.1   0.1   0:27.10 fail2ban-server
   1639 splunkf+  20   0  429724 214260  66792 S   0.1   0.9   1:28.83 splunkd
 248934 nathan37  20   0  738504  28784  22532 S   0.1   0.1   0:00.60 gsd-xsettings
 249033 nathan37  20   0  397880  40356  33360 S   0.1   0.2   0:05.05 vmtoolsd
 249191 nathan37  20   0 2506116 102012  63148 S   0.1   0.4   0:00.98 xdg-desktop-por
--
    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
 327932 root      20   0  437428  59408  17980 S   9.8   0.2   0:00.98 SetroubleshootP
 327887 setroub+  25   5  544708  86032  23324 S   8.6   0.4   0:00.86 setroubleshootd
 308004 nathan37  20   0  235136   7468   4360 S   7.0   0.0   0:56.92 htop
 296021 nathan37  20   0  235160   7468   4380 S   6.2   0.0   1:38.25 htop
 248115 nathan37  20   0  319260  93788   6072 S   5.8   0.4   0:24.12 FastX monitor 1
   1337 fastx     20   0   11.0g 202444  36612 S   3.3   0.8   3:29.35 fastx3
   1076 root      20   0 2694144 667528 347620 S   2.9   2.7  11:44.21 falcon-sensor-b
 248687 nathan37  20   0 6492060 361204 145908 S   2.4   1.5   4:52.28 gnome-shell
      1 root      20   0  176612  19328  11352 S   1.6   0.1   2:07.70 systemd
 248116 nathan37  20   0 4183092 194860  62144 S   0.8   0.8   2:08.63 Xorg
   1143 dbus      20   0    8436   6272   2564 S   0.5   0.0   0:33.20 dbus-broker
   1639 splunkf+  20   0  429724 215108  66792 S   0.5   0.9   1:28.88 splunkd
   2282 root      20   0 1573228  97672  17964 S   0.5   0.4   4:09.60 /opt/saltstack/
 249456 nathan37  20   0  712952  54572  39504 S   0.4   0.2   0:17.92 gnome-terminal-
 249033 nathan37  20   0  397880  40356  33360 S   0.3   0.2   0:05.08 vmtoolsd
 254213 nathan37  20   0 1395.9g 450104 177368 S   0.3   1.9   1:07.07 code
   1168 root      20   0  460996  12516   8020 S   0.2   0.1   0:28.88 vmtoolsd
--
    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
 296021 nathan37  20   0  235160   7468   4380 S   6.0   0.0   1:38.85 htop
 308004 nathan37  20   0  235136   7468   4360 S   6.0   0.0   0:57.52 htop
 248687 nathan37  20   0 6492060 361204 145908 S   1.6   1.5   4:52.44 gnome-shell
 328035 root      20   0 1452380  92188  12484 S   0.9   0.4   0:00.09 /opt/saltstack/
   1639 splunkf+  20   0  429724 214940  66792 S   0.7   0.9   1:28.95 splunkd
   1076 root      20   0 2694144 667492 347620 S   0.6   2.7  11:44.27 falcon-sensor-b
   2282 root      20   0 1573228  97672  17964 S   0.5   0.4   4:09.65 /opt/saltstack/
 248116 nathan37  20   0 4183092 194860  62144 S   0.5   0.8   2:08.68 Xorg
   1337 fastx     20   0   11.0g 203156  36612 S   0.4   0.8   3:29.39 fastx3
   1375 root      20   0  908576  23576  11516 S   0.2   0.1   0:27.12 fail2ban-server
   1920 zabbix    20   0 2436588  36320  19576 S   0.2   0.1   1:38.43 zabbix_agent2
 249456 nathan37  20   0  712696  54432  39504 S   0.2   0.2   0:17.94 gnome-terminal-
 254213 nathan37  20   0 1395.9g 450104 177368 S   0.2   1.9   1:07.09 code
 322194 nathan37  20   0  235308   4972   3776 R   0.2   0.0   0:00.50 top
 249033 nathan37  20   0  397880  40356  33360 S   0.1   0.2   0:05.09 vmtoolsd
 254147 nathan37  20   0   33.1g 252556 146660 S   0.1   1.0   3:11.68 code
 254432 nathan37  20   0 1393.9g 127660  82740 S   0.1   0.5   0:04.00 code
--
    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
 328035 root      20   0 1522528 144016  16524 S  58.0   0.6   0:05.91 /opt/saltstack/
   1076 root      20   0 2694144 667324 347620 S  11.4   2.7  11:45.41 falcon-sensor-b
   2282 root      20   0 1573228  97680  17964 S   6.4   0.4   4:10.29 /opt/saltstack/
 296021 nathan37  20   0  235160   7468   4380 S   6.2   0.0   1:39.47 htop
 308004 nathan37  20   0  235136   7468   4360 S   6.1   0.0   0:58.13 htop
 248687 nathan37  20   0 6492060 361204 145908 S   1.8   1.5   4:52.62 gnome-shell
      1 root      20   0  176612  19328  11352 S   0.7   0.1   2:07.77 systemd
 248116 nathan37  20   0 4183092 194860  62144 S   0.5   0.8   2:08.73 Xorg
   1337 fastx     20   0   11.0g 202720  36612 S   0.3   0.8   3:29.42 fastx3
 249456 nathan37  20   0  712696  54432  39504 S   0.3   0.2   0:17.97 gnome-terminal-
 254213 nathan37  20   0 1395.9g 450104 177368 S   0.3   1.9   1:07.12 code
 254532 nathan37  20   0 1409.9g 117896  81656 S   0.3   0.5   0:08.25 code
   1343 root      20   0  303988  59820  56268 S   0.2   0.2   0:03.67 sssd_nss
 254147 nathan37  20   0   33.1g 252556 146660 S   0.2   1.0   3:11.70 code
 322194 nathan37  20   0  235308   4972   3776 R   0.2   0.0   0:00.52 top
     12 root      20   0       0      0      0 I   0.1   0.0   0:00.18 kworker/u512:1-efi_rts_wq
     17 root      20   0       0      0      0 I   0.1   0.0   0:08.31 rcu_preempt
--
    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
 329204 root      20   0  700980 309272  34608 R  72.2   1.3   0:07.24 dnf
 296021 nathan37  20   0  235160   7468   4380 S   7.0   0.0   1:40.17 htop
 308004 nathan37  20   0  235136   7468   4360 S   6.0   0.0   0:58.73 htop
 328035 root      20   0 1522528 144324  16524 S   3.5   0.6   0:06.26 /opt/saltstack/
   1076 root      20   0 2694144 667356 347620 S   2.7   2.7  11:45.68 falcon-sensor-b
 248687 nathan37  20   0 6492060 361204 145908 S   2.3   1.5   4:52.85 gnome-shell
 248116 nathan37  20   0 4183092 194860  62144 S   0.8   0.8   2:08.81 Xorg
      1 root      20   0  176612  19328  11352 S   0.7   0.1   2:07.84 systemd
   1639 splunkf+  20   0  429724 214996  66792 S   0.6   0.9   1:29.02 splunkd
   1337 fastx     20   0   11.0g 202364  36612 S   0.5   0.8   3:29.47 fastx3
   2282 root      20   0 1573228  97680  17964 S   0.5   0.4   4:10.34 /opt/saltstack/
 249456 nathan37  20   0  712696  54432  39504 S   0.3   0.2   0:18.00 gnome-terminal-
   1168 root      20   0  460996  12516   8020 S   0.2   0.1   0:28.90 vmtoolsd
   1920 zabbix    20   0 2436588  36552  19576 S   0.2   0.2   1:38.46 zabbix_agent2
 249033 nathan37  20   0  397880  40356  33360 S   0.2   0.2   0:05.12 vmtoolsd
 249319 nathan37  20   0  737948  28564  22712 S   0.2   0.1   0:00.82 xdg-desktop-por
 254213 nathan37  20   0 1395.9g 449992 177368 S   0.2   1.9   1:07.14 code
--
    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
 329325 root      20   0  592896 279108  34664 R  26.8   1.1   0:02.69 dnf
 308004 nathan37  20   0  235136   7468   4360 S   7.0   0.0   0:59.43 htop
 296021 nathan37  20   0  235160   7468   4380 S   6.0   0.0   1:40.77 htop
   1076 root      20   0 2694144 667492 347620 S   2.0   2.7  11:45.88 falcon-sensor-b
 248687 nathan37  20   0 6492060 361204 145908 S   1.8   1.5   4:53.03 gnome-shell
   2282 root      20   0 1573228  97680  17964 S   0.6   0.4   4:10.40 /opt/saltstack/
   1920 zabbix    20   0 2436588  35864  19576 S   0.5   0.1   1:38.51 zabbix_agent2
 248116 nathan37  20   0 4183092 194860  62144 S   0.4   0.8   2:08.85 Xorg
 254213 nathan37  20   0 1395.9g 450068 177368 S   0.4   1.9   1:07.18 code
   1337 fastx     20   0   11.0g 203060  36612 S   0.3   0.8   3:29.50 fastx3
 249456 nathan37  20   0  712760  54520  39504 S   0.3   0.2   0:18.03 gnome-terminal-
 254532 nathan37  20   0 1409.9g 117896  81656 S   0.2   0.5   0:08.28 code
 328035 root      20   0 1522528 144332  16524 S   0.2   0.6   0:06.28 /opt/saltstack/
      1 root      20   0  176612  19328  11352 S   0.1   0.1   2:07.85 systemd
     45 root      20   0       0      0      0 S   0.1   0.0   0:00.38 ksoftirqd/4
    780 root      20   0       0      0      0 S   0.1   0.0   0:04.34 xfsaild/dm-0
   1670 apache    20   0 2442880   8428   4476 S   0.1   0.0   0:06.81 httpd
--
    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
 296021 nathan37  20   0  235160   7468   4380 S   6.0   0.0   1:41.37 htop
 308004 nathan37  20   0  235136   7468   4360 S   6.0   0.0   1:00.03 htop
   1076 root      20   0 2694144 667152 347620 S   5.5   2.7  11:46.43 falcon-sensor-b
      1 root      20   0  176612  19328  11352 S   1.9   0.1   2:08.04 systemd
 248687 nathan37  20   0 6492060 361204 145908 S   1.9   1.5   4:53.22 gnome-shell
   2282 root      20   0 1572172  97592  17964 S   1.1   0.4   4:10.51 /opt/saltstack/
 248116 nathan37  20   0 4183092 194860  62144 S   0.6   0.8   2:08.91 Xorg
   1337 fastx     20   0   11.0g 202604  36612 S   0.3   0.8   3:29.53 fastx3
 249456 nathan37  20   0  712760  54520  39504 S   0.3   0.2   0:18.06 gnome-terminal-
 254213 nathan37  20   0 1395.9g 450068 177368 S   0.3   1.9   1:07.21 code
 322194 nathan37  20   0  235308   4972   3776 R   0.3   0.0   0:00.58 top
   1343 root      20   0  303988  59820  56268 S   0.2   0.2   0:03.69 sssd_nss
   1639 splunkf+  20   0  429724 214996  66792 S   0.2   0.9   1:29.04 splunkd
 253950 nathan37  20   0 1394.1g 211360 136632 S   0.2   0.9   0:10.50 code
     17 root      20   0       0      0      0 I   0.1   0.0   0:08.33 rcu_preempt
     75 root      20   0       0      0      0 S   0.1   0.0   0:00.27 ksoftirqd/9
   1375 root      20   0  908576  23576  11516 S   0.1   0.1   0:27.14 fail2ban-server
--
    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
 254147 nathan37  20   0   33.1g 258560 152532 S  36.2   1.1   3:15.35 code
 248687 nathan37  20   0 6492060 361208 145908 S  18.5   1.5   4:55.07 gnome-shell
 329768 root      20   0  437428  59468  18040 S  10.1   0.2   0:01.01 SetroubleshootP
 254213 nathan37  20   0 1395.9g 459608 183804 S   9.8   1.9   1:08.19 code
 329734 setroub+  25   5  544708  85980  23280 S   8.3   0.4   0:00.83 setroubleshootd
 248116 nathan37  20   0 4183092 194860  62144 S   6.6   0.8   2:09.57 Xorg
 308004 nathan37  20   0  235136   7468   4360 S   6.3   0.0   1:00.66 htop
 296021 nathan37  20   0  235160   7468   4380 S   6.1   0.0   1:41.98 htop
   1076 root      20   0 2694144 668528 347620 S   4.5   2.8  11:46.88 falcon-sensor-b
 248115 nathan37  20   0  319260  93788   6072 S   4.1   0.4   0:24.53 FastX monitor 1
   1337 fastx     20   0   11.0g 202408  36612 S   4.0   0.8   3:29.93 fastx3
      1 root      20   0  176612  19328  11352 S   1.7   0.1   2:08.21 systemd
   1639 splunkf+  20   0  429724 214804  66792 S   1.1   0.9   1:29.15 splunkd
 253950 nathan37  20   0 1394.1g 211184 136632 S   0.8   0.9   0:10.58 code
   1143 dbus      20   0    8436   6272   2564 S   0.5   0.0   0:33.25 dbus-broker
   2282 root      20   0 1572172  97592  17964 S   0.5   0.4   4:10.56 /opt/saltstack/
 249456 nathan37  20   0  712760  54644  39504 S   0.4   0.2   0:18.10 gnome-terminal-
--
    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
 254147 nathan37  20   0   33.1g 258240 152112 S  60.1   1.1   3:21.38 code
 248687 nathan37  20   0 6492060 361208 145908 S  16.6   1.5   4:56.73 gnome-shell
 254213 nathan37  20   0 1394.2g 455452 183564 S  12.8   1.9   1:09.47 code
 296021 nathan37  20   0  235160   7468   4380 S   7.1   0.0   1:42.69 htop
 248116 nathan37  20   0 4183092 194860  62144 S   6.2   0.8   2:10.19 Xorg
 308004 nathan37  20   0  235136   7468   4360 S   6.0   0.0   1:01.26 htop
   1076 root      20   0 2694144 668300 347620 S   2.2   2.7  11:47.10 falcon-sensor-b
   1337 fastx     20   0   11.0g 202252  36612 S   1.3   0.8   3:30.06 fastx3
 253950 nathan37  20   0 1394.1g 211404 136632 S   1.3   0.9   0:10.71 code
   2282 root      20   0 1572172  97592  17964 S   0.6   0.4   4:10.62 /opt/saltstack/
 254532 nathan37  20   0 1409.9g 117980  81720 S   0.5   0.5   0:08.36 code
 254405 nathan37  20   0 1393.9g 278624  86376 S   0.4   1.1   0:10.52 code
   1920 zabbix    20   0 2436588  36532  19576 S   0.3   0.2   1:38.58 zabbix_agent2
 249456 nathan37  20   0  712760  54644  39504 S   0.3   0.2   0:18.13 gnome-terminal-
 322194 nathan37  20   0  235308   4972   3776 R   0.3   0.0   0:00.62 top
   1639 splunkf+  20   0  429724 214272  66792 S   0.2   0.9   1:29.17 splunkd
     17 root      20   0       0      0      0 I   0.1   0.0   0:08.34 rcu_preempt
--
    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
 254147 nathan37  20   0   33.1g 258756 152764 S  40.7   1.1   3:25.47 code
 248687 nathan37  20   0 6492060 361204 145908 S   9.4   1.5   4:57.67 gnome-shell
 308004 nathan37  20   0  235136   7468   4360 S   7.0   0.0   1:01.96 htop
 254213 nathan37  20   0 1394.2g 461340 183592 S   6.4   1.9   1:10.11 code
 296021 nathan37  20   0  235160   7468   4380 S   6.0   0.0   1:43.29 htop
 248116 nathan37  20   0 4183092 194860  62144 S   3.5   0.8   2:10.54 Xorg
   1076 root      20   0 2694144 668288 347620 S   2.2   2.7  11:47.32 falcon-sensor-b
 253950 nathan37  20   0 1394.1g 213856 136632 S   1.3   0.9   0:10.84 code
   1337 fastx     20   0   11.0g 202840  36612 S   0.8   0.8   3:30.14 fastx3
 254532 nathan37  20   0 1409.9g 118732  81720 S   0.8   0.5   0:08.44 code
   1639 splunkf+  20   0  429724 215136  66792 S   0.5   0.9   1:29.22 splunkd
   2282 root      20   0 1572172  97592  17964 S   0.5   0.4   4:10.67 /opt/saltstack/
 249456 nathan37  20   0  712944  54564  39504 S   0.3   0.2   0:18.16 gnome-terminal-
 254405 nathan37  20   0 1393.9g 278664  86376 S   0.2   1.1   0:10.54 code
 255305 nathan37  20   0  238084  10740   3956 S   0.2   0.0   0:00.13 bash
   1168 root      20   0  460996  12516   8020 S   0.1   0.1   0:28.93 vmtoolsd
   1671 apache    20   0 2246208   8188   4452 S   0.1   0.0   0:05.91 httpd
--
    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
 254147 nathan37  20   0   33.1g 265832 160020 S  37.1   1.1   3:29.19 code
 331432 setroub+  25   5  546756  88988  23312 S  34.6   0.4   0:03.47 setroubleshootd
 248687 nathan37  20   0 6492060 361928 145908 S  20.5   1.5   4:59.72 gnome-shell
 331450 root      20   0  437752  59792  18020 S   9.9   0.2   0:00.99 SetroubleshootP
 254213 nathan37  20   0 1394.2g 462240 190920 S   8.7   1.9   1:10.98 code
 331537 nathan37  20   0  170072  50220  33676 R   7.5   0.2   0:00.75 vivado
 296021 nathan37  20   0  235160   7468   4380 S   6.0   0.0   1:43.89 htop
 308004 nathan37  20   0  235136   7468   4360 S   6.0   0.0   1:02.56 htop
 248116 nathan37  20   0 4183092 194860  62144 S   5.6   0.8   2:11.10 Xorg
   1076 root      20   0 2694144 668388 347620 S   3.7   2.7  11:47.69 falcon-sensor-b
   1337 fastx     20   0   11.0g 199340  36612 S   3.2   0.8   3:30.46 fastx3
